Locator,Sampledate,Depth,Updown,CastNotes,Chlorophyll,Chlorophyll_Qual,Density,Density_Qual,DO,DO_Qual,SigmaTheta,SigmaTheta_Qual,Light_Transmission,Light_Qual,PAR,PAR_Qual,Surface_PAR,Surface_PAR_Qual,Salinity,Salinity_Qual,Temperature,Temperature_Qual,Turbidity,Turbidity_Qual,NO23,NO23_Qual,Date,Year,Month,Day,YearDay,Bin,BinDepth,Density_mean,Density_sd,Density_n,DO_mean,DO_sd,DO_n,SigmaTheta_mean,SigmaTheta_sd,SigmaTheta_n,Salinity_mean,Salinity_sd,Salinity_n,Temperature_mean,Temperature_sd,Temperature_n,Chlorophyll_mean,Chlorophyll_sd,Chlorophyll_n,Light_Transmission_mean,Light_Transmission_sd,Light_Transmission_n,PAR_mean,PAR_sd,PAR_n,Surface_PAR_mean,Surface_PAR_sd,Surface_PAR_n,Turbidity_mean,Turbidity_sd,Turbidity_n,NO23_mean,NO23_sd,NO23_n,Depth_Qual_Auto,Chlorophyll_Qual_Auto,Density_Qual_Auto,DO_Qual_Auto,SigmaTheta_Qual_Auto,Light_Transmission_Qual_Auto,PAR_Qual_Auto,Surface_PAR_Qual_Auto,Salinity_Qual_Auto,Temperature_Qual_Auto,Turbidity_Qual_Auto,NO23_Qual_Auto,flag_reason
KSBP01,1999-11-15T12:33:00Z,0.5,Down,NA,-1.56,"E,Rej",1018.471,rej,9.607,rej,18.4689,rej,NA,NA,86.63,rej,112.9,rej,24.2172,rej,10.526,rej,10.67,rej,NA,NA,1999-11-15,1999,11,15,319,"(0,0.5]",0.25,1021.741,1.648324603953972,14,7.85975,1.1626032212238189,14,20.840142857142858,3.6055539074545035,14,28.44018,2.2411086959360094,14,10.5738,0.8145220684548699,14,1.0125,0.8040470550077692,14,50.41,28.55716781008462,14,310.7685714285714,342.8645864535386,14,175.9714285714286,138.83916776433986,14,4.974285714285714,5.2172433881723945,14,NA,NA,14,NA,Rej,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chl
KSBP01,1999-11-15T12:34:00Z,1,Down,NA,-1.56,"E,Rej",1019.262,rej,6.478,rej,19.2571,rej,NA,NA,89.57,rej,115.4,rej,25.23,rej,10.517,rej,4.01,rej,NA,NA,1999-11-15,1999,11,15,319,"(0.5,1]",0.75,1021.6685416666667,1.6348076067941115,31,7.456545454545455,0.915837827569339,31,21.659990322580647,1.5707536399989313,31,28.368720833333334,2.3117605156505756,31,10.628666666666666,1.3677317518166843,31,1.3745454545454545,1.070107815096561,31,84.14708333333333,7.092288818738688,31,143.28870967741935,112.5778383087878,31,230.07741935483872,256.9197627141951,31,1.2357142857142858,1.275785472337952,31,0.3521090909090909,0.03919769009891922,31,NA,Rej,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chl
KSBP01,1999-11-15T12:34:00Z,1.5,Down,NA,-1.56,Rej,1019.131,rej,6.434,rej,19.1238,rej,NA,NA,40.79,rej,115.4,rej,25.0588,rej,10.519,rej,4.77,rej,NA,NA,1999-11-15,1999,11,15,319,"(1,1.5]",1.25,1022.2053714285714,1.2240210514749246,38,7.209411764705883,0.7398666185135878,38,22.17487105263158,1.3031371624946233,38,29.09268857142857,1.6786503916875024,38,10.848342857142857,0.9782586552843043,38,1.3825714285714286,1.212446100335387,38,86.12741935483871,5.808432357496548,38,100.08236842105264,78.85806268857822,38,226.39736842105262,235.1782699178142,38,1.1342857142857143,1.6429633506041974,38,0.35296428571428573,0.03630218487052297,38,NA,Rej,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chl
KSBP01,2000-01-18T11:51:00Z,0.5,Down,SJ marked DO as questionable; DO high compared to bottle and other years' data,-1.76,E,1021.095,rej,9.777,rej,21.0929,rej,NA,NA,458.4,rej,152.7,rej,27.2345,rej,8.661,rej,1.8,rej,NA,NA,2000-01-18,2000,1,18,18,"(0,0.5]",0.25,1022.2908,1.2661552827358824,12,8.4315,0.5084097756731285,12,19.587266666666668,4.7868583543115655,12,28.754739999999998,1.5889407975126064,12,8.6108,0.4823895728557988,12,1.4933333333333334,1.2921816177818555,12,46.768,31.581754542773584,12,214.6475,136.14178979852386,12,182.66363636363636,183.9390022411086,12,0.5671428571428572,0.5570970677154412,12,NA,NA,12,NA,Rej,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chl
KSBP01,2000-02-14T09:40:00Z,0.5,Down,SJ marked DO as questionable; DO high compared to other years' data,-1.56,E,1021.284,NA,9.925,Q,21.2819,NA,NA,NA,52.96,NA,58.8,NA,27.3577,NA,7.978,NA,2.5,NA,NA,NA,2000-02-14,2000,2,14,45,"(0,0.5]",0.25,1021.441,1.0055826669150418,14,8.958,0.5558515989002825,14,20.755442857142857,2.6482949680921077,14,27.55406,1.2858756736170096,14,7.947,0.48027075696944127,14,7.193333333333333,9.566610336651815,14,38.76714285714286,31.883446443928506,14,343.69428571428574,328.71211137534186,14,268.8285714285714,213.9005715408318,14,0.9516666666666667,1.0107901199886486,14,NA,NA,14,NA,Rej,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chl
KSBP01,2000-02-14T09:41:00Z,1,Down,SJ marked DO as questionable; DO high compared to other years' data,-1.56,E,1021.411,NA,9.906,Q,21.4064,NA,NA,NA,43.95,NA,58.4,NA,27.5222,NA,8.011,NA,1.73,NA,NA,NA,2000-02-14,2000,2,14,45,"(0.5,1]",0.75,1021.445347826087,1.4687211075284499,31,8.771571428571429,0.5183580395275615,31,21.51774516129032,1.4521068775721961,31,27.577369565217392,1.9108073499379978,31,8.057434782608695,0.5711623575964875,31,2.5776190476190477,3.3322828582848496,31,84.25625,6.12440081363777,31,184.34,223.1580329721518,31,305.0935483870968,300.57313911424166,31,1.1466666666666667,0.544671154612273,31,0.4230888888888889,0.017468217170367194,31,NA,Rej,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chl
KSBP01,2000-02-14T09:41:00Z,1.5,Down,SJ marked DO as questionable; DO high compared to other years' data,-1.56,REJ,1021.632,NA,9.891,Q,21.6247,NA,NA,NA,37.98,NA,58.4,NA,27.7989,NA,8,NA,2.39,NA,NA,NA,2000-02-14,2000,2,14,45,"(1,1.5]",1.25,1021.5870625,1.3567353353404163,33,8.777076923076923,0.6929875567758441,33,21.6153303030303,1.3506271944648642,33,27.78450625,1.7380844982869745,33,8.2335,0.592849760655832,33,2.5043333333333333,2.8411079472304626,33,84.58769230769231,5.9210001234198995,33,136.24030303030304,154.30000651095355,33,331.7,394.70708759787937,33,1.1683333333333334,0.7327050338756155,33,0.40899,0.04379153774164339,33,NA,Rej,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chl
KSBP01,2000-07-17T09:46:00Z,0.5,Down,NA,-1.46,E,1020.758,NA,8.298,REJ,20.7563,NA,NA,NA,1221.2,NA,1367.7,NA,27.938,NA,13.903,NA,2.71,NA,NA,NA,2000-07-17,2000,7,17,199,"(0,0.5]",0.25,1021.0827142857142,1.144242211288861,16,8.6045,0.7898382745853743,16,16.68563125,6.214670178507062,16,28.48372857142857,1.3665391111786565,16,14.374857142857143,0.8951051015702811,16,1.88,0.5232590180780452,16,24.1925,25.34998887010181,16,1831.825,930.7631469355312,16,1190.9357142857143,433.66485572145695,16,0.47875,0.9410091467598571,16,NA,NA,16,NA,Rej,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chl
KSBP01,2000-07-17T09:50:00Z,1,Down,NA,43.45,E,1020.866,NA,11.539,REJ,20.8619,NA,NA,NA,924.54,NA,1362.7,NA,28.0784,NA,13.916,NA,-0.36,NA,NA,NA,2000-07-17,2000,7,17,199,"(0.5,1]",0.75,1021.0261212121212,0.9423301490711572,37,10.52448,1.8275357525002531,37,21.093872972972974,0.9210513716667759,37,28.29399696969697,1.183792506756581,37,13.924666666666667,0.9928015180118663,37,8.774074074074074,8.060137076167482,37,70.17275862068965,18.201619413147935,37,624.6875675675676,404.3533728917306,37,1118.6028571428571,646.4780968427925,37,0.52125,0.6057448189743645,37,0.11836666666666666,0.07741306414294682,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rej,NA,Turb
KSBP01,2000-09-18T09:52:00Z,0.5,Down,Turbidity data Rejected due to instrument malfunction.,-0.05,E,1022.647,rej,5.825,rej,22.645,rej,NA,NA,188.05,rej,176.6,rej,30.1255,rej,12.868,rej,25,R,NA,NA,2000-09-18,2000,9,18,262,"(0,0.5]",0.25,1022.3625,0.38335231837045025,9,8.495000000000001,2.685434601698578,9,21.051111111111112,3.916944765517011,9,29.878825,0.426510284166748,9,13.35625,0.3665963947813275,9,3.835,1.5768481220460009,9,69.685,33.62292744542033,9,863.38,619.822616600911,9,538.725,382.5695370965724,9,4.634285714285714,9.202579089840082,9,0.2675,NA,9,NA,Rej,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chl
